COD_DANE,NOMBRE_MPI,DPTO_CNMBR,loss_pixels,loss_area_ha
15455,MIRAFLORES,BOYACÁ,1051,94.58999999999999
15464,MONGUA,BOYACÁ,702,63.18
15466,MONGUÍ,BOYACÁ,925,83.25
15469,MONIQUIRÁ,BOYACÁ,3255,292.95
15476,MOTAVITA,BOYACÁ,4698,422.82
15480,MUZO,BOYACÁ,1776,159.84
15491,NOBSA,BOYACÁ,2636,237.23999999999998
15494,NUEVO COLÓN,BOYACÁ,3055,274.95
15500,OICATÁ,BOYACÁ,472,42.48
15507,OTANCHE,BOYACÁ,69,6.21
15511,PACHAVITA,BOYACÁ,298,26.82
15514,PÁEZ,BOYACÁ,840,75.6
15516,PAIPA,BOYACÁ,292,26.28
15518,PAJARITO,BOYACÁ,3436,309.24
15522,PANQUEBA,BOYACÁ,1912,172.07999999999998
15531,PAUNA,BOYACÁ,803,72.27
15533,PAYA,BOYACÁ,886,79.74
15537,PAZ DE RÍO,BOYACÁ,448,40.32
15542,PESCA,BOYACÁ,635,57.15
15550,PISBA,BOYACÁ,5654,508.86
15572,PUERTO BOYACÁ,BOYACÁ,71,6.39
15580,QUÍPAMA,BOYACÁ,44,3.96
15599,RAMIRIQUÍ,BOYACÁ,53,4.77
15600,RÁQUIRA,BOYACÁ,166,14.94
15621,RONDÓN,BOYACÁ,9,0.81
15632,SABOYÁ,BOYACÁ,35,3.15
15638,SÁCHICA,BOYACÁ,59,5.31
15646,SAMACÁ,BOYACÁ,86,7.739999999999999
15660,SAN EDUARDO,BOYACÁ,53,4.77
15664,SAN JOSÉ DE PARE,BOYACÁ,747,67.22999999999999
15667,SAN LUIS DE GACENO,BOYACÁ,129,11.610000000000001
15673,SAN MATEO,BOYACÁ,5695,512.55
15676,SAN MIGUEL DE SEMA,BOYACÁ,2,0.18
15681,SAN PABLO DE BORBUR,BOYACÁ,1410,126.9
15686,SANTANA,BOYACÁ,104,9.36
15690,SANTA MARÍA,BOYACÁ,2953,265.77
15693,SANTA ROSA DE VITERBO,BOYACÁ,2346,211.14
15696,SANTA SOFÍA,BOYACÁ,3235,291.15
15720,SATIVANORTE,BOYACÁ,8667,780.03
15723,SATIVASUR,BOYACÁ,2983,268.46999999999997
15740,SIACHOQUE,BOYACÁ,174,15.66
15753,SOATÁ,BOYACÁ,259,23.309999999999995
15755,SOCOTÁ,BOYACÁ,56,5.04
15757,SOCHA,BOYACÁ,44,3.96
15759,SOGAMOSO,BOYACÁ,24,2.16
15761,SOMONDOCO,BOYACÁ,108,9.72
15762,SORA,BOYACÁ,115,10.35
15763,SOTAQUIRÁ,BOYACÁ,23,2.07
15764,SORACÁ,BOYACÁ,1419,127.71
15774,SUSACÓN,BOYACÁ,31,2.79
15776,SUTAMARCHÁN,BOYACÁ,25,2.25
15778,SUTATENZA,BOYACÁ,136,12.24
15790,TASCO,BOYACÁ,94,8.46
15798,TENZA,BOYACÁ,13,1.17
15804,TIBANÁ,BOYACÁ,66,5.94
15806,TIBASOSA,BOYACÁ,14,1.26
15808,TINJACÁ,BOYACÁ,49,4.41
15810,TIPACOQUE,BOYACÁ,18,1.62
15814,TOCA,BOYACÁ,60,5.3999999999999995
15816,TOGÜÍ,BOYACÁ,1927,173.42999999999998
15820,TÓPAGA,BOYACÁ,2643,237.86999999999998
15822,TOTA,BOYACÁ,893,80.37
15832,TUNUNGUÁ,BOYACÁ,13,1.17
15835,TURMEQUÉ,BOYACÁ,85,7.6499999999999995
15837,TUTA,BOYACÁ,1822,163.98
15839,TUTAZÁ,BOYACÁ,127,11.43
15842,ÚMBITA,BOYACÁ,492,44.28
15861,VENTAQUEMADA,BOYACÁ,150,13.5
15879,VIRACACHÁ,BOYACÁ,169,15.209999999999999
15897,ZETAQUIRA,BOYACÁ,190,17.099999999999998
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1968,177.11999999999998
18205,CURILLO,CAQUETÁ,378,34.02
18247,EL DONCELLO,CAQUETÁ,589,53.01
18256,EL PAUJÍL,CAQUETÁ,2281,205.29
18410,LA MONTAÑITA,CAQUETÁ,4172,375.47999999999996
18460,MILÁN,CAQUETÁ,19206,1728.54
18479,MORELIA,CAQUETÁ,1969,177.20999999999998
18592,PUERTO RICO,CAQUETÁ,3102,279.18
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,170,15.3
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,389,35.01
18756,SOLANO,CAQUETÁ,263,23.669999999999998
18785,SOLITA,CAQUETÁ,3086,277.74
18860,VALPARAÍSO,CAQUETÁ,5375,483.75
19001,POPAYÁN,CAUCA,518,46.62
19022,ALMAGUER,CAUCA,820,73.8
19050,ARGELIA,CAUCA,1510,135.9
19075,BALBOA,CAUCA,1450,130.5
19100,BOLÍVAR,CAUCA,589,53.01
19110,BUENOS AIRES,CAUCA,6096,548.64
19130,CAJIBÍO,CAUCA,2005,180.45
19137,CALDONO,CAUCA,1227,110.42999999999999
19142,CALOTO,CAUCA,1861,167.48999999999998
19212,CORINTO,CAUCA,9972,897.48
19256,EL TAMBO,CAUCA,3096,278.64
19290,FLORENCIA,CAUCA,173,15.57
19300,GUACHENÉ,CAUCA,717,64.53
19318,GUAPI,CAUCA,87,7.83
19355,INZÁ,CAUCA,64,5.76
19364,JAMBALÓ,CAUCA,258,23.22
19392,LA SIERRA,CAUCA,19,1.71
19397,LA VEGA,CAUCA,711,63.989999999999995
19418,LÓPEZ DE MICAY,CAUCA,11250,1012.5
19450,MERCADERES,CAUCA,143,12.87
