COD_DANE,NOMBRE_MPI,DPTO_CNMBR,baseline_forest_tc30,px_bosque_tc30,baseline_forest_tc50,baseline_forest_tc75,fuente,version_gfc,baseline_forest,area_municipio_ha,fecha_generacion
44430,MAICAO,LA GUAJIRA,46766.621060117715,529849,34720.32955854918,19858.926786060067,local:Colombia_treecover2000.tif,Colombia_treecover2000,46766.621060117715,176450.9707916264,2026-09-20T09:50:08
44560,MANAURE,LA GUAJIRA,5588.374009273255,63368,2524.270662363446,670.9613813197527,local:Colombia_treecover2000.tif,Colombia_treecover2000,5588.374009273255,161554.76415458755,2026-09-20T09:50:08
44650,SAN JUAN DEL CESAR,LA GUAJIRA,57306.601174184936,648283,43533.08066534483,25860.32886380404,local:Colombia_treecover2000.tif,Colombia_treecover2000,57306.601174184936,130855.67966816189,2026-09-20T09:50:08
44847,URIBIA,LA GUAJIRA,8368.14793904798,95108,5949.243742195759,3434.8311994235182,local:Colombia_treecover2000.tif,Colombia_treecover2000,8368.14793904798,786602.0909427465,2026-09-20T09:50:08
44855,URUMITA,LA GUAJIRA,19794.769163009092,223680,18366.593519157395,15522.287195683632,local:Colombia_treecover2000.tif,Colombia_treecover2000,19794.769163009092,24579.39493743758,2026-09-20T09:50:08
44874,VILLANUEVA,LA GUAJIRA,15213.179739732115,171956,13039.190359525965,9469.372770838927,local:Colombia_treecover2000.tif,Colombia_treecover2000,15213.179739732115,25958.652712970666,2026-09-20T09:50:08
47001,SANTA MARTA,MAGDALENA,196758.6252829468,2228146,191348.9967135961,178872.5133662203,local:Colombia_treecover2000.tif,Colombia_treecover2000,196758.6252829468,234390.32923832894,2026-09-20T09:50:08
47030,ALGARROBO,MAGDALENA,11333.188957057417,127958,9418.88101425839,5779.419605944856,local:Colombia_treecover2000.tif,Colombia_treecover2000,11333.188957057417,40588.49844953324,2026-09-20T09:50:08
47053,ARACATACA,MAGDALENA,114978.34159946017,1299751,110452.08942656986,100440.651683676,local:Colombia_treecover2000.tif,Colombia_treecover2000,114978.34159946017,173842.42561871928,2026-09-20T09:50:08
47058,ARIGUANÍ,MAGDALENA,20483.109753442684,230988,16747.835156065812,8505.806196767753,local:Colombia_treecover2000.tif,Colombia_treecover2000,20483.109753442684,113032.9901667411,2026-09-20T09:50:08
47161,CERRO DE SAN ANTONIO,MAGDALENA,1870.3092039711414,21121,1353.1722425473552,873.2128910198303,local:Colombia_treecover2000.tif,Colombia_treecover2000,1870.3092039711414,17706.56126310541,2026-09-20T09:50:08
47170,CHIVOLO,MAGDALENA,13030.478824421698,147061,10266.20620164902,5336.110460243675,local:Colombia_treecover2000.tif,Colombia_treecover2000,13030.478824421698,53603.08568371744,2026-09-20T09:50:08
47189,CIÉNAGA,MAGDALENA,112542.55774206358,1273394,108692.36428446765,98927.278432051,local:Colombia_treecover2000.tif,Colombia_treecover2000,112542.55774206358,132935.59640537665,2026-09-20T09:50:08
47205,CONCORDIA,MAGDALENA,823.1911873595039,9294,512.8369114636102,180.8639935050478,local:Colombia_treecover2000.tif,Colombia_treecover2000,823.1911873595039,10939.533770831784,2026-09-20T09:50:08
47245,EL BANCO,MAGDALENA,30485.193191620274,343059,24108.40820150374,13039.375392123664,local:Colombia_treecover2000.tif,Colombia_treecover2000,30485.193191620274,81380.18392504867,2026-09-20T09:50:08
47258,EL PIÑÓN,MAGDALENA,8270.226313168943,93412,5667.10923315332,2824.3519470567044,local:Colombia_treecover2000.tif,Colombia_treecover2000,8270.226313168943,55665.67833817904,2026-09-20T09:50:08
47268,EL RETÉN,MAGDALENA,14689.177643382563,166077,13328.806265628948,11564.962059761276,local:Colombia_treecover2000.tif,Colombia_treecover2000,14689.177643382563,26189.434052747296,2026-09-20T09:50:08
47288,FUNDACIÓN,MAGDALENA,72136.39050545197,815067,66759.3300435956,55728.00757125608,local:Colombia_treecover2000.tif,Colombia_treecover2000,72136.39050545197,97056.93928562907,2026-09-20T09:50:08
47318,GUAMAL,MAGDALENA,22757.873970285676,256190,16842.59050659631,7701.862190610402,local:Colombia_treecover2000.tif,Colombia_treecover2000,22757.873970285676,56384.366039765075,2026-09-20T09:50:08
47460,NUEVA GRANADA,MAGDALENA,8617.924126367121,97163,6447.312208499758,2613.846201470985,local:Colombia_treecover2000.tif,Colombia_treecover2000,8617.924126367121,84114.44508815123,2026-09-20T09:50:08
47541,PEDRAZA,MAGDALENA,3588.016579853545,40502,2431.9366883452813,985.5526058493851,local:Colombia_treecover2000.tif,Colombia_treecover2000,3588.016579853545,30554.740803283083,2026-09-20T09:50:08
47545,PIJIÑO DEL CARMEN,MAGDALENA,14444.640522387102,162750,11325.592727164067,5146.837468683338,local:Colombia_treecover2000.tif,Colombia_treecover2000,14444.640522387102,66076.34346678692,2026-09-20T09:50:08
47551,PIVIJAY,MAGDALENA,43739.41432535031,494143,33368.1425627827,16620.687289991023,local:Colombia_treecover2000.tif,Colombia_treecover2000,43739.41432535031,163873.56871621398,2026-09-20T09:50:08
47555,PLATO,MAGDALENA,32608.97470769516,367670,25720.585445061446,12389.262194791037,local:Colombia_treecover2000.tif,Colombia_treecover2000,32608.97470769516,145597.52267501527,2026-09-20T09:50:08
47570,PUEBLOVIEJO,MAGDALENA,20238.048124265646,228918,19739.90859729472,18772.336683823516,local:Colombia_treecover2000.tif,Colombia_treecover2000,20238.048124265646,67903.92796605045,2026-09-20T09:50:08
47605,REMOLINO,MAGDALENA,17842.853697445033,201736,16061.521980491125,14031.945499106481,local:Colombia_treecover2000.tif,Colombia_treecover2000,17842.853697445033,59437.497069113895,2026-09-20T09:50:08
47660,SABANAS DE SAN ÁNGEL,MAGDALENA,43519.07641299146,491207,35657.76074250623,16808.985076318182,local:Colombia_treecover2000.tif,Colombia_treecover2000,43519.07641299146,123756.06643551869,2026-09-20T09:50:08
47675,SALAMINA,MAGDALENA,1176.828275460695,13299,701.1034237163908,344.2248401793978,local:Colombia_treecover2000.tif,Colombia_treecover2000,1176.828275460695,17033.47957133684,2026-09-20T09:50:08
47692,SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA,15312.052711855498,172415,11033.072597072263,4460.0312297061155,local:Colombia_treecover2000.tif,Colombia_treecover2000,15312.052711855498,43713.06792749814,2026-09-20T09:50:08
47703,SAN ZENÓN,MAGDALENA,9442.859065864082,106325,7247.0909922536475,3461.724585496174,local:Colombia_treecover2000.tif,Colombia_treecover2000,9442.859065864082,26859.449702944738,2026-09-20T09:50:08
47707,SANTA ANA,MAGDALENA,21530.962873127384,242572,16860.49377721481,8580.395257490974,local:Colombia_treecover2000.tif,Colombia_treecover2000,21530.962873127384,111920.75225867917,2026-09-20T09:50:08
47720,SANTA BÁRBARA DE PINTO,MAGDALENA,6111.857714228361,68861,4301.651000294249,1545.5971446850972,local:Colombia_treecover2000.tif,Colombia_treecover2000,6111.857714228361,49426.61997007403,2026-09-20T09:50:08
47745,SITIONUEVO,MAGDALENA,17853.118672648958,202007,16305.031384775146,13195.998385266968,local:Colombia_treecover2000.tif,Colombia_treecover2000,17853.118672648958,97002.26950206334,2026-09-20T09:50:08
47798,TENERIFE,MAGDALENA,11526.412497927482,130011,9466.770089615722,5005.367767678503,local:Colombia_treecover2000.tif,Colombia_treecover2000,11526.412497927482,49178.00695960433,2026-09-20T09:50:08
47960,ZAPAYÁN,MAGDALENA,3533.123344681875,39876,2616.7510868979243,1188.069888980128,local:Colombia_treecover2000.tif,Colombia_treecover2000,3533.123344681875,37260.59256306118,2026-09-20T09:50:08
47980,ZONA BANANERA,MAGDALENA,29850.490572883667,337650,26720.916561251157,20139.56364114288,local:Colombia_treecover2000.tif,Colombia_treecover2000,29850.490572883667,43541.743407382055,2026-09-20T09:50:08
50001,VILLAVICENCIO,META,38221.59462072518,425796,32642.65833063043,24432.52792381642,local:Colombia_treecover2000.tif,Colombia_treecover2000,38221.59462072518,128370.51807165923,2026-09-20T09:50:08
50006,ACACÍAS,META,63400.25663240298,706206,58639.467759966974,49226.69870009294,local:Colombia_treecover2000.tif,Colombia_treecover2000,63400.25663240298,112192.01387652288,2026-09-20T09:50:08
50110,BARRANCA DE UPÍA,META,13315.769745021238,148412,11601.31253177537,9194.823127981388,local:Colombia_treecover2000.tif,Colombia_treecover2000,13315.769745021238,40303.29301592396,2026-09-20T09:50:08
50124,CABUYARO,META,21572.927223031,240378,18690.611594858383,13591.923997119813,local:Colombia_treecover2000.tif,Colombia_treecover2000,21572.927223031,91185.0586411891,2026-09-20T09:50:08
