project_id,name,proponent,project_url,registry
CCB70,Alto Tuluá Minor Hydroelectric Power Plant,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-70,cercarbono
CCB71,	Bajo Tuluá Minor Hydroelectric Power Plant,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-71,cercarbono
CCB72,Amaime Minor Hydroelectric Power Plant,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-72,cercarbono
CCB73,Proyecto Carbono CAS,Compañia Agricola de la Sierra Sucursal Colombia,https://www.ecoregistry.io/projects/CDC-73,cercarbono
CCB74,Cucuana Hydroelectric Power Plant,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-74,cercarbono
CCB75,Núcleos Carbono,NÚCLEOS E INVERSIONES FORESTALES DE COLOMBIA S.A,https://www.ecoregistry.io/projects/CDC-75,cercarbono
CCB76,PRR-GEI ENTREPALMAS S.A.S,ENTREPALMAS S.A.S,https://www.ecoregistry.io/projects/CDC-76,cercarbono
CCB77,Central Hidroeléctrica de Santa Ana,Empresa de Acueducto y Alcantarillado de Bogotá ,https://www.ecoregistry.io/projects/CDC-77,cercarbono
CCB78,-,Pruebas 1,https://www.ecoregistry.io/projects/CDC-78,cercarbono
CCB79,Carbono Verde,Tekia S.A.S,https://www.ecoregistry.io/projects/CDC-79,cercarbono
CCB81,"Grupo Daabon, Aprovechamiento de Metano",C.I. Tequendama S.A.S.,https://www.ecoregistry.io/projects/CDC-81,cercarbono
CCB82,Certificación de Reducción de Emisiones de GEI de Aceites Manuelita S.A.,Aceites Manuelita S.A.,https://www.ecoregistry.io/projects/CDC-82,cercarbono
CCB83,Primera sombrilla de generación solar fotovoltaica de Ecopetrol,Ecopetrol S.A.,https://www.ecoregistry.io/projects/CDC-83,cercarbono
CCB84,Programa de aprovechamiento de gas asociado de Ecopetrol,Ecopetrol S.A.,https://www.ecoregistry.io/projects/CDC-84,cercarbono
CCB85,Celsia Solar Agrupado Colombia 2021,CELSIA COLOMBIA S.A. E.S.P.,https://www.ecoregistry.io/projects/CDC-85,cercarbono
CCB86,Proyecto agrupado HZ Energy,HZ ENERGY S.A.S. E.S.P.,https://www.ecoregistry.io/projects/CDC-86,cercarbono
CCB87,Ciclo Combinado Termoflores IV,Prime Termoflores S.A.S E.S.P,https://www.ecoregistry.io/projects/CDC-87,cercarbono
CCB88,Proyecto Hidroeléctrico Alejandría,Generadora Alejandría S.A.S. E.S.P.,https://www.ecoregistry.io/projects/CDC-88,cercarbono
CCB89,REDD+ PAZCÍFICO,CO2CERO,https://www.ecoregistry.io/projects/CDC-89,cercarbono
CCB90,Veolia LFG PTA Presidente landfill,VEOLIA COLOMBIA HOLDING SA,https://www.ecoregistry.io/projects/CDC-90,cercarbono
CCB91,Veolia LFG PTA Manizales and Cúcuta Landfill,VEOLIA COLOMBIA HOLDING SA,https://www.ecoregistry.io/projects/CDC-91,cercarbono
